#
# IK Names
#

%Gender%,
%Origin%,

@Gender,Male,Male/Female
@Origin,Cygnaran,Cygnaran/Thurian/Khadoran/Llaelese/Ordic/Protectorate 

:Start
1,{If~%Origin% = Cygnaran ? [%Origin%%Gender%] [%Origin%Surname]}
_ {If~%Origin% = Thurian ? [%Origin%%Gender%] [%Origin%Surname]}
_ {If~%Origin% = Khadoran ? [%Origin%%Gender%] [%Origin%Surname]}
_ {If~%Origin% = Llaelese ? [%Origin%%Gender%] [%Origin%Surname]} 
_ {If~%Origin% = Ordic  ? [%Origin%%Gender%] [%Origin%Surname]}
_ {If~%Origin% = Protectorate  ? [%Origin%%Gender%] [%Origin%Surname]}

# -----------------------------------------------------------------------------------
# Cygnaran

:CygnaranMale
1,Alain
2,Alger
3,Alnor
4,Alvy
5,Amery
6,Ansel
7,Anson
8,Ard
9,Arias
10,Ardin
11,Arkin
12,Arland
13,Artis
14,Baen
15,Bain
16,Bairn
17,Barden
18,Barigan
19,Barlowe
20,Bartley
21,Bayden
22,Beck
23,Bergin
24,Birk
25,Bixler
26,Blayde
27,Blythe
28,Bolden
29,Boren
30,Bors
31,Bowden
32,Brandel
33,Brill
34,Brock
35,Brone
36,Brue
37,Brunner
38,Bryson
39,Cacey
40,Caine
41,Cam
42,Camden
43,Casner
44,Cobb
45,Creedan
46,Creel
47,Crowle
48,Dalmer
49,Dardan
50,Degar
51,Delp
52,Dexer
53,Dextrel
54,Dorn
55,Dowd
56,Doyle
57,Druce
58,Dugger
59,Dunley
60,Durwin
61,Eckert
62,Egan
63,Elias
64,Elgin
65,Ennis
66,Everett
67,Fane
68,Fargas
69,Finch
70,Fitch
71,Gade
72,Gadsden
73,Galt
74,Garrett
75,Garrick
76,Godwin
77,Griffon
78,Gum
79,Gunner
80,Hamil
81,Harlan
82,Hawke
83,Heremon
84,Icabod
85,Jagger
86,Jarok
87,Jonas
88,Julian
89,Kade
90,Kell
91,Kerne
92,Kerr
93,Leto
94,Lon
95,Mago
96,Malek
97,Milo
98,Nash
99,Nolan
100,Odger
101,Olson
102,Pandor
103,Perth
104,Phineas
105,Radnor
106,Regan
107,Retho
108,Reynard
109,Rowe
110,Rudd
111,Scarle
112,Sebastian
113,Sorley
114,Timeck
115,Ulfass
116,Vahn
117,Victor
118,Vidor
119,Vinter
120,Waldron
121,Wolfe
122,Wyatt

:CygnaranFemale
1,Alanna
2,Alexia
3,Alley
4,Amery
5,Ashlan
6,Ashley
7,Bailey
8,Betilda
9,Brona
10,Cammy
11,Canice
12,Cara
13,Caylan
14,Cecily
15,Creena
16,Dara
17,Darsey
18,Delaney
19,Derry
20,Desle
21,Devlin
22,Dunla
23,Elatha
24,Elspeth
25,Emma
26,Enda
27,Erris
28,Evelyn
29,Gale
30,Gwen
31,Haley
32,Henna
33,Islene
34,Jenett
35,Jordan
36,Juliana
37,Katerine
38,Kealey
39,Kearey
40,Keavey
41,Kelsey
42,Kiltey
43,Lorna
44,Matilda
45,Meara
46,Morna
47,Muriel
48,Nally
49,Orla
50,Renny
51,Rosaleen
52,Rowan
53,Sabina
54,Shay
55,Stianna
56,Tara
57,Torey
58,Tressa
59,Una
60,Vora
61,Wren

:CygnaranSurname
1,Ainsworth
2,Aleman
3,Alkott
4,Applewhite
5,Ashburn
6,Ashcroft
7,Atchley
8,Atwood
9,Bainbridge
10,Bancroft
11,Bannister
12,Barrington
13,Barton
14,Baskin
15,Belker
16,Bingley
17,Blackburn
18,Blackwood
19,Boggs
20,Borloch
21,Borne
22,Bradner
23,Brasher
24,Briarford
25,Brisbane
26,Broadnax
27,Brocker
28,Calligan
29,Calvirt
30,Cosgrave
31,Darkmantle
32,Denby
33,Denisson
34,Dryden
35,Dumas
36,Dunford
37,Durst
38,Ellsworth
39,Falk
40,Fenwick
41,Forsythe
42,Fullet
43,Gadock
44,Galbraith
45,Gant
46,Gately
47,Gilfin
48,Gilroy
49,Grayden
50,Grimes
51,Hadley
52,Haightley
53,Halstead
54,Hartcliff
55,Helstrom
56,Helwick
57,Hitch
58,Hornbeck
59,Hurst
60,Ironside
61,Keightley
62,Keller
63,Kendrick
64,Kerrigan
65,Kerswell
66,Kinnet
67,Kirkston
68,Kurgan
69,Langworth
70,Lynch
71,Mallett
72,Mallory
73,Millward
74,Montfort
75,Mosley
76,Murdoch
77,Norwick
78,Oberen
79,Oldham
80,Pendrake
81,Raelthorne
82,Ratcliff
83,Redgrave
84,Rhinehart
85,Rolfe
86,Rusling
87,Scarrow
88,Shaw
89,Skarholt
90,Sunbright
91,Talbot
92,Tolbert
93,Versh
94,Villius
95,Voyle
96,Wadock
97,Whitefield

# -----------------------------------------------------------------------------------
# Thurian

:ThurianMale
1,Aidan
2,Ardan
3,Bastian
4,Blake
5,Bradig
6,Branduff
7,Brogan
8,Brosnan
9,Byrleigh
10,Cagneigh
11,Colm
12,Conleth
13,Conor
14,Cormick
15,Cronan
16,Cullin
17,Darian
18,Darragh
19,Decklan
20,Deegan
21,Dermid
22,Dermot
23,Dougal
24,Dougan
25,Durgan
26,Eilish
27,Fergus
28,Finnegan
29,Flynn
30,Gervin
31,Gorman
32,Gralan
33,Hagan
34,Hanagan
35,Hogan
36,Ian
37,Keegan
38,Killian
39,Kirwin
40,Larkin
41,Lonan
42,Lorcan
43,Lorgan
44,Luan
45,Mairtin
46,Morgan
47,Nolan
48,Odran
49,Olan
50,Ossian
51,Piran
52,Quinn
53,Quinlan
54,Rogan
55,Ronan
56,Ryleigh

:ThurianFemale
1,Aideen
2,Ansleigh
3,Beara
4,Boand
5,Brennan
6,Caelan
7,Caitlin
8,Carleigh
9,Carolan
10,Clancy
11,Dana
12,Devlin
13,Eithne
14,Evlin
15,Gillian
16,Jelyan
17,Jerilyn
18,Kaelin
19,Keehan
20,Kennan
21,Kenseigh
22,Kerin
23,Kerry
24,Kileigh
25,Lacy
26,Leigan
27,Lennon
28,Mara
29,Meara
30,Megan
31,Milish
32,Niall
33,Nivin
34,Paddy
35,Regan
36,Roshean
37,Shannon
38,Teagan
39,Tiernan

:ThurianSurname
1,Aghamore
2,Bain
3,Bartley
4,Beene
5,Berrigan
6,Blathmac
7,Bradigan
8,Bray
9,Brenn
10,Burney
11,Byrne
12,Carrock
13,Cathmore
14,Corcoran
15,Corley
16,Cronan
17,Decklan
18,Deorain
19,Derrigan
20,Donovan
21,Doyle
22,Dromore
23,Duff
24,Duffock
25,Duggan
26,Dunne
27,Enabarr
28,Fagan
29,Finnian
30,Finnigan
31,Gafneagh
32,Garrity
33,Gilmore
34,Glasneagh
35,Gormleigh
36,Gowan
37,Grady
38,Grath
39,Hugh
40,Hurlough
41,Kaddock
42,Kain
43,Kannock
44,Kavanaugh
45,Kerneigh
46,Keehan
47,Kerrigan
48,Kilbride
49,Kildair
50,Lattimore
51,Leegan
52,Lochlan
53,Lowreigh
54,Lynch
55,Madigan
56,Melroane
57,Moriarty
58,Mrrough
59,Rathleagh
60,Reardan
61,Riordan
62,Roane
63,Ryland
64,Scully
65,Sheridan
66,Scorleagh
67,Torcail
68,Turlough
69,Vain
70,Waddock
71,Wain

# -----------------------------------------------------------------------------------
# Khadoran

:KhadoranMale
1,Aika
2,Aleksi
3,Alexandr
4,Alexei
5,Aliosha
6,Ambroz
7,Andrei
8,Balsnoch
9,Barak
10,Bladko
11,Boris
12,Borja
13,Chasek
14,Costi
15,Culamir
16,Dahlrif
17,Dalmat
18,Dmitri
19,Dobrinya
20,Dorek
21,Dragash
22,Drago
23,Falko
24,Fedko
25,Fedor
26,Fodor
27,Gasan
28,Ghita
29,Giza
30,Gorash
31,Goraz
32,Gorian
33,Grigor
34,Grigory
35,Iagan
36,Iakhno
37,Iakshen
38,Igor
39,Ilya
40,Ivan
41,Ivash
42,Ivdan
43,Jachemir
44,Jarosch
45,Josef
46,Kachalo
47,Kigir
48,Kirbitei
49,Kohan
50,Kosara
51,Ladimir
52,Levanid
53,Loshka
54,Luka
55,Malash
56,Malko
57,Michal
58,Michka
59,Mikhail
60,Mikolo
61,Mishka
62,Negomir
63,Nekras
64,Nikolei
65,Olekse
66,Pachek
67,Petrov
68,Pytor
69,Radomir
70,Radu
71,Rajko
72,Ruskin
73,Sadko
74,Sergei
75,Servath
76,Solovei
77,Stoyan
78,Valerian
79,Vasily
80,Vasiuk
81,Vasko
82,Vladjimir
83,Vojin
84,Volkh
85,Yakov
86,Yaro
87,Yuri
88,Yurik

:KhadoranFemale
1,Akina
2,Akilina
3,Aleksa
4,Anana
5,Anastasia
6,Anikita
7,Bazhina
8,Britt
9,Cesta
10,Cestina
11,Corinna
12,Dalika
13,Darzha
14,Elina
15,Eliska
16,Elka
17,Gridia
18,Gubina
19,Ihrin
20,Ilyana
21,Ivona
22,Kasia
23,Katerina
24,Katia
25,Klenka
26,Ksana
27,Laika
28,Lariana
29,Ludmila
30,Malana
31,Marfa
32,Marina
33,Marta
34,Mia
35,Mikhaila
36,Milena
37,Misha
38,Myrra
39,Nastasja
40,Natalya
41,Nikita
42,Ninete
43,Ondreiana
44,Riksa
45,Siri
46,Sivasha
47,Sofia
