
#
# IK Names NonHumans
#

# Dwarven/Iosan/Gobber/Ogrun/Trollkin

%Gender%,xxx
%Race%,xxx
%Pick%,

@Gender,male,male/female
@Race,Dwarven,Dwarven/Iosan/Gobber/Ogrun/Trollkin

:Start
1,{If~%Race% = Gobber ? [%Race%%Gender%]-[%Race%female]-[%Race%male]-[%Race%Surname]/[%Race%%Gender%] [%Race%Surname]}

# -----------------------------------------------------------------------------------
# Dwarven

:Dwarvenmale
1,Admon
2,Arlack
3,Barl
4,Bartan
5,Bindar
6,Brogan
7,Bullin
8,Decklin
9,Dragar
10,Dunarl
11,Durg
12,Durke
13,Ecken
14,Freitag
15,Galtar
16,Gamack
17,Gerhard
18,Gidrick
19,Golrick
20,Gruhn
21,Guvul
22,Havelock
23,Hedwig
24,Herne
25,Holdur
26,Jaldun
27,Jurg
28,Kalmon
29,Lossock
30,Redgar
31,Theldor
32,Tholrick
33,Tholrick
34,Thorne

:Dwarvenfemale
1,Anlost
2,Bredine
3,Burnev
4,Cathro
5,Celath
6,Crelyth
7,Crieda
8,Darlave
9,Dira
10,Garline
11,Gedine
12,Geduve
13,Girta
14,Gorina
15,Heleth
16,Hiln
17,Magrat
18,Marba
19,Mendine
20,Nollos
21,Sartine
22,Torlith
23,Uhlith
24,Ulave
25,Vetta

:DwarvenSurname
1,Belgre
2,Blackheel
3,Blackitt
4,Darrow
5,Dolgren
6,Domack
7,Dorgun
8,Durkin
9,Fortros
10,Gherke
11,Hardwick
12,Icehold
13,Lugro
14,Netweaver
15,Olghrd
16,Oreblood
17,Redhammer
18,Rothrock
19,Serric
20,Sigmur
21,Softshadow
22,Steadfast
23,Stoneground
24,Torgun
25,Urdro
26,Whitnock
27,Wroughthammer

# -----------------------------------------------------------------------------------
# Iosan/Nyss

:Iosanmale
1,Alcyr
2,Avross
3,Bres
4,Callael
5,Callis
6,Cinsyr
7,Cyvross
8,Erryll
9,Felcyr
10,Glyssor
11,Gossyr
12,Laconfir
13,Lani
14,Lissor
15,Neriwhen
16,Pelyth
17,Rillis
18,Sarlos
19,Shas
20,Thale
21,Tryiss
22,Tylth
23,Vyros
24,Vystral

:Iosanfemale
1,Aesha
2,Alyssa
3,Caelyth
4,Cytyss
5,Dahlia
6,Edrea
7,Falcir
8,Feen
9,Gaelyr
10,Hellith
11,Lorimir
12,Lothwyn
13,Meryll
14,Miir
15,Renyll
16,Sacyl
17,Shael
18,Sillith
19,Tanyr
20,Tathir
21,Tenae
22,Velwhin
23,Veryth
24,Ystith

:IosanSurname
1,Alcyan
2,Asir
3,Breir
4,Ellowuyr
5,Ferryll
6,Graccys
7,Hallyr
8,Heryllith
9,Larisar
10,Lloryrr
11,Luynmyr
12,Lyorys
13,Menellyth
14,Raefyll
15,Reyvrese
16,Ryssyll
17,Syvas
18,Vrir
19,Waelen
20,Wyldiss
21,Wyllothyr

# -----------------------------------------------------------------------------------
# Gobber

:Gobbermale
1,Ad
2,Ant
3,Az
4,Boll
5,Bert
6,Bork
7,Dag
8,Dar
9,Gek
10,Gork
11,Gort
12,Gul
13,Gun
14,Hek
15,Hok
16,Kanh
17,Kug
18,Lan
19,Lok
20,Mo
21,Mog
22,Nat
23,Nun
24,Ork
25,Oz
26,Pok
27,Poon
28,Rak
29,Ranh
30,Tak
31,Thak
32,Tok
33,Tot
34,Tun
35,Tur
36,Un
37,Vog
38,Vorg
39,Zhag

:Gobberfemale
1,Agghi
2,Ala
3,Anh
4,Ano
5,Ara
6,Atra
7,Bel
8,Da
9,Dar
10,Enda
11,Gan
12,Gara
13,Geka
14,Gola
15,Gomm
16,Gren
17,Grend
18,Kat
19,Lom
20,Mari
21,Meg
22,Nan
23,Rala
24,Ren
25,Sele
26,Tere
27,Ugga
28,Ula
29,Vel
30,Walu
31,Wikka

:GobberSurname
1,{If~%Gender% = female ? {Replace~g,k,[GobberSurnameParts]}/[GobberSurnameParts]}

:GobberSurnameParts
1,ag
2,agen
3,aggan
4,ahun
5,alog
6,amun
7,aneg
8,anen
9,anheg
10,ano
11,arag
12,atol
13,dara
14,egga
15,eleg
16,emun
17,gamun
18,gana
19,gar
20,garda
21,gekan
22,heleg
23,holdt
24,kam
25,kan
26,meleg
27,obalt
28,omog
29,ona
30,onan
31,oran
32,ralog
33,rel
34,uladar
35,ulag
36,ulug
37,uman
38,uren
39,vi

# -----------------------------------------------------------------------------------
# Ogrun

:Ogrunmale
1,Borok
2,Bosh
3,Dunuk
4,Gantak
5,Gorgol
6,Gorlu
7,Kuluk
8,Kogul
9,Lagdor
10,Lorgrul
11,Monon
12,Natak
13,Oknot
14,Tokol
15,Tuluk
16,Zorok

:Ogrunfemale
1,Bekken
2,Beleg
3,Dekri
4,Garka
5,Ilka
6,Jessen
7,Kelen
8,Kinik
9,Krishka
10,Rengan
11,Rilik
12,Tilka
13,Torin
14,Vilin

:OgrunSurname
1-2,[OgrunActualSurname]
3,{Cap~[OgrunWords][OgrunWords2]}

:OgrunActualSurname
1,Ammok
2,Assag
3,Berok
4,Hedlok
5,Halghat
6,Korsuk
7,Kulghat
8,Nokter
9,Thagrosh
10,Thologhat
11,Turnok
12,Turok
13,Urgark

:OgrunWords
1,hammer
2,boom
3,iron
4,long
5,knee
6,oak
7,skull
8,stone
9,strong
10,war
11,eye

:OgrunWords2
1-10,[OgrunWords]
11,hand
12,tongue
13,biter
14,side
15,spear
16,splitter
17,arm

# -----------------------------------------------------------------------------------
# Trollkin

:Trollkinmale
1,Balasar
2,Bendek
3,Ganthak
4,Garosh
5,Gerlak
6,Grindar
7,Holdar
8,Horluk
9,Jonhot
10,Joston
11,Kolor
12,Korlar
13,Masdun
14,Stershan
15,Tassar
16,Termen

:Trollkinfemale
1,Brolas
2,Harthreen
3,Jata
4,Jennan
5,Jussika
6,Lassan
7,Masalass
8,Mossan
9,Niolor
10,Nosson
11,Olos
12,Rossan
13,Sollisa
14,Sossamon
15,Vasalor
16,Vatess
17,Vessos
18,Vialoss

:TrollkinSurname
1,[TrollkinActualSurname]
2-4,{Cap~[TrollkinWords][TrollkinWords2]}

:TrollkinActualSurname
1,Delleb
2,Dogalus
3,Gormas
4,Kavkalash
5,Lorgash
6,Lugosh
7,Toborg
8,Tumbrog
9,Hoagbarth

:TrollkinWords
1,blood
2,boom
3,howler
4,doom
5,fire
6,good
7,bad
8,slaughter
9,surf
10-13,stone
14,mountain
15,fell

:TrollkinWords2
1-10,[TrollkinWords]
11,speaker
12,tongue
13,hammer
14,barth
15,born
16,hide
17,caller
18,bringer
19,biter
